PM2_5,PM10,SO2,NO2,CO,O3,lat,lng,U,V
76.09,104.91,9.18,16.6,2.48,60.61,35.56,103.75,-1.76,1.11
81.34,110.14,9.74,16.59,2.58,59.24,35.56,103.91,-1.7,-0.67
72.25,96.08,8.82,14.85,2.44,59.82,35.56,104.08,-0.12,-0.52
71.76,93.92,9.63,14.89,2.55,58.7,35.56,104.25,0.87,0.51
67.37,86.66,10.23,14.82,2.43,57.83,35.56,104.42,0.35,0.81
66.24,82.76,11.5,15.4,2.48,55.34,35.56,104.58,-0.49,0.28
51.68,62.93,9.27,12.59,2.04,56.39,35.56,104.75,-0.6,0.15
43.07,51.19,7.89,10.79,1.76,57.46,35.56,104.92,-0.34,0.23
41.31,47.42,7.25,9.57,1.66,56.67,35.56,105.08,-0.17,0.29
37.64,42.04,6.72,8.51,1.44,56.99,35.56,105.25,0.08,0.05
33.81,36.46,7.15,8.07,1.22,56.81,35.56,105.42,0.61,-0.4
35.1,37.22,9.05,8.79,1.23,56.56,35.56,105.58,0.71,-0.68
30.83,31.53,10.71,7.94,0.99,57.83,35.56,105.75,-0.05,-0.26
16.85,19.42,8.88,7.2,0.84,58.41,35.56,105.92,-0.84,0.08
15.38,17.73,8.73,6.76,0.64,56.98,35.56,106.09,-0.12,0.55
14.71,16.95,8.33,6.48,0.27,56.36,35.56,106.25,2.87,0.44
15.1,17.34,9.22,7.62,0.27,53.91,35.56,106.42,4.49,-1.17
17.07,19.92,10.94,9.73,0.29,49.36,35.55,106.59,2.92,-2.74
17.27,20.12,10.1,11.71,0.29,46.99,35.55,106.75,1.65,-2.37
19.66,22.63,9.16,12.11,0.3,45.95,35.55,106.92,1.54,-2.32
20.5,27.11,8.17,9.94,0.43,47.76,35.55,107.09,1.44,-2
21.63,29.78,7.88,9.22,0.47,48.88,35.54,107.26,0.95,-1.85
22.21,33.23,7.62,8.74,0.51,50.17,35.54,107.42,0.42,-2.12
23.11,34.65,8.36,9.21,0.56,50.51,35.54,107.59,0.5,-2.39
19.9,29.61,6.38,7.02,0.5,52.34,35.53,107.76,0.97,-2.45
17.68,25.73,5.42,5.9,0.46,53.42,35.53,107.92,1.09,-2.38
14.69,20.66,4.71,5.08,0.4,54.12,35.53,108.09,0.55,-1.81
12.25,16.76,4.22,4.48,0.35,54.67,35.52,108.26,0.01,-1.05
11.47,15.57,4.27,4.31,0.34,54.46,35.52,108.42,0.03,-0.39
9.54,12.82,4.55,4.03,0.3,56.6,35.51,108.59,1.07,-0.12
9.34,12.87,5.1,4.38,0.3,55.13,35.51,108.76,2.04,-0.36
9.13,12.79,5.74,4.8,0.3,53.93,35.5,108.92,1.29,-0.41
10.11,14.45,8.1,6.58,0.32,52.73,35.5,109.09,0,-0.38
11.4,16.43,9.19,6.9,0.34,49.99,35.49,109.26,-0.41,-0.19
11.98,17.41,9.91,7.04,0.35,49.68,35.49,109.42,-0.9,-0.41
11.52,16.53,8.22,5.9,0.33,50.65,35.48,109.59,-2.32,-1.29
10.75,15.11,8.26,5.7,0.3,50.79,35.48,109.76,-2.8,-1.87
9.99,13.75,8.77,5.6,0.28,52.84,35.47,109.92,-1.8,-1.87
10.98,15.09,11.18,6.62,0.29,50.11,35.46,110.09,-1.34,-1.43
15.07,21.44,19.53,10.51,0.37,46.54,35.46,110.26,-1.25,-1.1
20.13,29.04,26.1,14.36,0.43,43.15,35.45,110.42,-0.41,-1.57
34.58,50.37,47.52,24.99,0.63,35.46,35.44,110.59,-0.4,-0.86
34.21,46.62,38.54,19.73,0.58,38.38,35.44,110.76,-1.04,0.58
33.6,43.49,36.28,18.01,0.53,38.72,35.43,110.92,-0.64,0.65
36.85,45.92,39.25,18.64,0.54,37.49,35.42,111.09,-0.78,1.19
39.17,49.88,42.77,19.83,0.52,36.6,35.41,111.26,-2.73,3.25
43.48,51.99,44.88,19.53,0.51,36.87,35.41,111.42,-4.16,4.94
40.89,48.81,42.66,18.39,0.48,38.53,35.4,111.59,-3.4,4.09
25.95,43.41,27.2,11.99,0.69,46.31,35.39,111.76,-1.64,1.43
23.54,39.33,24.4,10.67,0.64,47.51,35.38,111.92,0.34,0.44
27.88,48.13,28.5,12.4,0.74,45.1,35.37,112.09,1.25,0.88
36.45,67.98,33.95,15.18,0.92,43.05,35.36,112.26,0.29,1.49
43.06,85.1,38.56,17.94,1.04,41.02,35.35,112.42,-1.17,1.8
48.42,101.57,47.85,24.26,1.07,36.57,35.34,112.59,-2.12,1.54
52.33,117.81,51.4,25.29,1.02,37.05,35.33,112.75,-2.24,0.52
54.05,131.42,49.85,26.07,0.98,39.14,35.32,112.92,-1.84,-0.43
49.04,126.26,40.1,25.91,1.09,41.61,35.31,113.09,-1.08,-1.17
49.92,137.85,37.74,26.47,1.48,43.45,35.3,113.25,-0.14,-0.63
59.59,181.31,41.58,29.97,2.13,46.97,35.29,113.42,-0.02,0.73
66.09,210.96,45.79,32.96,2.58,48.25,35.28,113.59,-0.92,0.75
67.2,215.04,50.66,35.12,2.76,38.47,35.27,113.75,-1.78,-0.52
70.16,223.42,54.66,36.36,3.1,32.28,35.26,113.92,-2.12,-1.56
71.88,222.76,52.99,34.93,3.29,32.87,35.25,114.08,-2.07,-2.65
76.87,233.16,53.21,34.5,3.55,30.65,35.24,114.25,-1.5,-3.09
80.31,238.21,52.11,33.72,3.6,28.78,35.22,114.41,-0.98,-2.97
85.57,251.69,51.94,33.83,3.65,26.7,35.21,114.58,-0.84,-2.59
86.96,250.8,49.75,33.52,3.43,25.62,35.2,114.75,-0.78,-2.11
88.82,252.03,49.18,34.29,3.22,23.94,35.19,114.91,-0.7,-1.73
92.99,257.92,50.78,35.89,3.15,21.55,35.17,115.08,-0.71,-1.41
97.53,263.9,53.72,37.37,3.11,19.49,35.16,115.24,-0.77,-1.13
88.39,236.51,54.74,38.8,2.79,17.94,35.15,115.41,-0.86,-0.96
77.57,198.78,53.15,40.91,2.38,16.82,35.13,115.57,-1,-0.83
68.28,169.97,52.1,42.24,2.16,16.95,35.12,115.74,-1.23,-0.64
69.29,163.97,52.04,43.39,2.07,17.14,35.11,115.9,-1.46,-0.34
69.58,163.32,53.36,44.53,2.06,17.3,35.09,116.07,-1.62,0.05
71.5,166.08,60.16,46.56,2.09,16.87,35.08,116.23,-1.82,0.55
74.2,170.64,67.61,48.37,2.13,16.63,35.06,116.4,-2.22,1.07
77.73,177.14,79.71,50.15,2.19,16.2,35.05,116.57,-2.7,1.52
81.42,186.05,85.31,52.29,2.28,15.12,35.03,116.73,-3.08,1.9
83.68,190.61,84.41,53.55,2.32,14.68,35.02,116.9,-3.51,2.41
89.01,201.53,92.79,55.43,2.51,13.87,35,117.06,-4.02,2.64
87.09,193.37,78.53,54.9,2.36,16.01,34.99,117.23,-4.59,2.5
83.95,183.08,69.93,53.54,2.24,17.96,34.97,117.39,-4.89,2.02
83,177.41,73.79,53.22,2.18,18.56,34.96,117.55,-4.17,1.25
83.34,173.39,72.17,52.71,2.14,18.8,34.94,117.72,-3.08,0.68
84.52,173.24,69.18,52.89,2.12,18.88,34.92,117.88,-2.69,0.82
87.16,176.87,70.74,53.64,2.18,18.01,34.91,118.05,-2.78,1.61
92.05,184.51,84.49,55.28,2.28,15.31,34.89,118.21,-2.89,2.53
96.94,191.43,95.11,56.56,2.33,13.63,34.87,118.38,-2.98,3.01
98.83,191.49,90.14,56.71,2.28,14.37,34.86,118.54,-2.99,3.16
100.12,189.74,85.47,56.55,2.21,15.16,34.84,118.71,-2.75,3.33
101.21,188.63,82.42,56.29,2.14,15.54,34.82,118.87,-2.48,3.58
101.77,187.22,81.73,56.16,2.08,15.44,34.8,119.03,-2.51,4.05
84.74,150.64,76.12,53.54,1.63,19.78,34.79,119.2,-2.73,4.73
75.51,131.33,69.72,51.58,1.39,22.11,34.77,119.36,-2.98,5.28
1.77,1.89,0.26,1.17,0.12,84.24,33.08,79.17,2.23,-1.37
1.63,1.74,0.23,1.09,0.12,85.55,33.12,79.32,1.5,-1.89
1.49,1.59,0.21,0.99,0.11,85.43,33.15,79.48,6.29,-0.52
1.43,1.52,0.2,0.9,0.11,85.78,33.18,79.64,9.39,-0.35
1.39,1.48,0.19,0.87,0.11,85.2,33.21,79.8,5.85,1.6
1.3,1.39,0.18,0.79,0.11,84.58,33.25,79.96,4.68,3.84
1.26,1.35,0.18,0.7,0.11,84.6,33.28,80.11,5.89,2.14
1.28,1.37,0.19,0.54,0.12,86.5,33.31,80.27,4.79,-0.23
1.28,1.37,0.2,0.39,0.12,89.75,33.34,80.43,2.12,0.23
1.21,1.3,0.19,0.36,0.12,90.24,33.37,80.59,-0.44,-0.32
1.15,1.23,0.18,0.33,0.12,90.19,33.4,80.75,0.12,-1.04
1.12,1.2,0.18,0.31,0.11,90.36,33.43,80.91,4.05,-1.39
1.09,1.17,0.17,0.31,0.11,89.68,33.46,81.07,6.51,-2.17
1.07,1.15,0.17,0.29,0.12,89.33,33.49,81.23,4.96,-1.39
1.03,1.1,0.16,0.27,0.12,90.64,33.52,81.38,1.74,0.05
0.97,1.04,0.15,0.25,0.11,90.54,33.55,81.54,1.27,-1.7
0.93,1,0.15,0.24,0.11,90.11,33.58,81.7,4.22,-2.93
0.89,0.95,0.14,0.23,0.11,89.58,33.61,81.86,7.5,-2.47
0.85,0.91,0.13,0.22,0.11,89.56,33.64,82.02,7.84,-1.96
0.81,0.87,0.13,0.21,0.12,89.85,33.67,82.18,5.65,-1.55
0.77,0.83,0.12,0.2,0.12,89.87,33.7,82.34,7.01,-3.07
0.73,0.78,0.11,0.19,0.12,90.04,33.73,82.5,10.86,-3.17
0.7,0.75,0.11,0.19,0.12,89.83,33.76,82.66,10.29,-3
0.7,0.75,0.11,0.18,0.12,89.24,33.79,82.82,7.05,-1.3
0.7,0.75,0.11,0.17,0.12,88.09,33.81,82.98,5.7,1.29
0.69,0.75,0.11,0.16,0.12,86.28,33.84,83.14,6.39,1.96
0.68,0.73,0.11,0.16,0.12,84.94,33.87,83.3,7.36,1.15
0.68,0.73,0.11,0.16,0.12,83.82,33.9,83.46,7.89,-0.03
0.67,0.72,0.1,0.16,0.12,82.78,33.92,83.62,7.38,-1.45
0.67,0.73,0.1,0.15,0.12,82.32,33.95,83.78,5.85,-2.42
0.67,0.72,0.1,0.15,0.12,82.04,33.98,83.95,6.04,-2.94
0.66,0.71,0.1,0.15,0.12,83.34,34,84.11,8.59,-3.55
0.66,0.71,0.1,0.15,0.12,83.13,34.03,84.27,10.14,-4.38
0.66,0.71,0.1,0.14,0.12,82.01,34.06,84.43,9.15,-3.22
0.67,0.73,0.1,0.15,0.12,80.32,34.08,84.59,7.18,-0.73
0.69,0.74,0.1,0.15,0.12,78.8,34.11,84.75,5.48,1.24
0.7,0.75,0.1,0.15,0.11,77.78,34.13,84.91,4.88,2.63
0.71,0.76,0.1,0.15,0.11,77.99,34.16,85.07,5.91,2.15
0.72,0.78,0.11,0.14,0.12,81.83,34.19,85.24,5.47,0.84
0.74,0.8,0.12,0.14,0.11,83.74,34.21,85.4,2.53,-1.25
0.71,0.76,0.12,0.13,0.11,86.63,34.24,85.56,2.36,-2.6
0.69,0.74,0.11,0.12,0.11,84.75,34.26,85.72,5.12,-3.57
0.66,0.71,0.11,0.12,0.11,82.78,34.28,85.88,8.81,-4.63
0.61,0.65,0.1,0.12,0.11,85.01,34.31,86.04,10.94,-4.57
0.6,0.64,0.09,0.12,0.11,85.2,34.33,86.21,8.34,-2.23
0.6,0.64,0.09,0.12,0.11,84.69,34.36,86.37,5.88,0.22
0.6,0.65,0.09,0.12,0.11,84.52,34.38,86.53,6.27,0.96
0.61,0.65,0.09,0.12,0.11,84.38,34.4,86.69,6.8,0.31
0.62,0.66,0.09,0.12,0.11,84.11,34.43,86.86,6.56,-0.5
0.63,0.67,0.09,0.12,0.11,83.68,34.45,87.02,5.78,-0.45
0.64,0.68,0.09,0.12,0.11,83.06,34.47,87.18,4.91,0.17
0.67,0.71,0.09,0.12,0.11,82.72,34.49,87.34,4.46,0.17
0.69,0.73,0.1,0.12,0.12,82.97,34.52,87.51,5.1,-0.14
0.7,0.74,0.1,0.12,0.12,83.17,34.54,87.67,7.47,-0.4
0.7,0.74,0.1,0.12,0.12,83.4,34.56,87.83,9.58,-0.66
0.7,0.75,0.1,0.12,0.12,82.84,34.58,88,9.23,-0.71
0.72,0.77,0.1,0.12,0.12,81.64,34.6,88.16,7.82,-0.6
0.76,0.81,0.1,0.12,0.12,81.21,34.63,88.32,6.88,-0.71
0.81,0.86,0.11,0.12,0.12,81.32,34.65,88.49,6.27,-1.27
0.84,0.89,0.12,0.11,0.12,81.53,34.67,88.65,5.75,-1.61
0.86,0.92,0.12,0.11,0.12,81.51,34.69,88.81,6.36,-1.54
0.92,0.98,0.13,0.11,0.12,80.69,34.71,88.98,7.19,-0.92
0.94,1,0.13,0.11,0.12,79.7,34.73,89.14,6.46,-0.43
0.91,0.97,0.12,0.11,0.12,78.78,34.75,89.3,5.7,-0.02
0.89,0.95,0.12,0.11,0.12,79.12,34.77,89.47,6.74,-0.22
0.87,0.93,0.12,0.11,0.11,79.03,34.79,89.63,9.55,-0.15
0.84,0.89,0.11,0.1,0.11,79.52,34.81,89.79,11.9,0.26
0.82,0.87,0.11,0.1,0.11,80.67,34.83,89.96,12.09,-0.21
0.82,0.86,0.11,0.1,0.11,80.34,34.85,90.12,10.7,-0.83
0.83,0.88,0.11,0.11,0.11,79.34,34.87,90.29,8.83,-0.92
0.85,0.9,0.11,0.1,0.11,77.42,34.88,90.45,7.25,-0.88
0.87,0.93,0.12,0.11,0.11,77.7,34.9,90.61,6.52,-0.72
0.89,0.95,0.12,0.11,0.11,77.65,34.92,90.78,6.45,-0.45
0.89,0.95,0.12,0.1,0.11,77.74,34.94,90.94,7.42,-0.07
0.87,0.93,0.12,0.1,0.11,77.21,34.96,91.11,10.17,-0.31
0.83,0.88,0.11,0.1,0.11,78.08,34.97,91.27,12.55,-1.25
0.81,0.86,0.11,0.1,0.11,79.11,34.99,91.44,11.87,-2.21
0.83,0.88,0.11,0.1,0.11,78.76,35.01,91.6,9.15,-2.69
0.85,0.9,0.1,0.1,0.11,78.65,35.03,91.77,7.13,-2.21
0.86,0.91,0.1,0.09,0.11,78.76,35.04,91.93,7.2,-1.25
0.84,0.88,0.1,0.09,0.11,80.21,35.06,92.1,8.15,-1.16
0.81,0.86,0.1,0.09,0.12,82.05,35.08,92.26,8.83,-1.24
0.81,0.86,0.1,0.09,0.12,82.3,35.09,92.43,9.59,-1.77
0.8,0.85,0.1,0.09,0.12,83.18,35.11,92.59,10.24,-2.65
0.8,0.84,0.1,0.09,0.12,83.99,35.12,92.76,10.17,-2.94
0.79,0.83,0.1,0.09,0.12,85.16,35.14,92.92,9.51,-2.55
0.8,0.84,0.1,0.11,0.12,85.31,35.15,93.09,8.77,-2.06
0.8,0.85,0.1,0.11,0.12,85.03,35.17,93.25,8.01,-1.79
0.81,0.86,0.1,0.11,0.12,84.74,35.18,93.42,7.46,-1.83
0.82,0.87,0.1,0.11,0.12,84.53,35.2,93.58,7.4,-2.01
0.83,0.88,0.1,0.13,0.12,84.26,35.21,93.75,7.5,-2.31
0.85,0.89,0.1,0.16,0.12,83.24,35.23,93.91,7.24,-2.8
0.86,0.91,0.1,0.18,0.12,82.26,35.24,94.08,6.69,-3.11
0.87,0.92,0.1,0.19,0.12,81.86,35.26,94.24,6.73,-3.41
0.86,0.92,0.1,0.18,0.12,82.65,35.27,94.41,7.38,-2.51
0.87,0.92,0.1,0.17,0.12,81.94,35.28,94.58,7.92,-1.45
0.86,0.91,0.1,0.15,0.12,82.52,35.3,94.74,8.14,-1.17
0.86,0.91,0.1,0.15,0.12,82.07,35.31,94.91,8.22,-0.93
0.86,0.91,0.1,0.14,0.12,81.79,35.32,95.07,8.44,-0.78
0.85,0.9,0.09,0.14,0.12,81.69,35.33,95.24,8.84,-0.75
0.85,0.9,0.09,0.13,0.12,81.4,35.35,95.4,9.01,-0.41
0.85,0.9,0.09,0.13,0.12,82.24,35.36,95.57,8.91,-0.51
0.85,0.9,0.09,0.13,0.12,82.29,35.37,95.74,8.37,-0.95
0.85,0.9,0.09,0.13,0.12,81.83,35.38,95.9,7.13,-0.79
0.86,0.91,0.09,0.13,0.12,81.57,35.39,96.07,6.66,-0.73
0.86,0.91,0.09,0.12,0.12,81.52,35.41,96.24,7.25,-1.12
0.86,0.92,0.09,0.13,0.12,80.58,35.42,96.4,7.45,-1.32
0.87,0.92,0.09,0.13,0.12,80.06,35.43,96.57,7.72,-1.31
0.84,0.89,0.09,0.12,0.12,81.26,35.44,96.73,8.83,-1.17
0.82,0.87,0.09,0.11,0.12,82.33,35.45,96.9,9.5,-0.79
0.82,0.87,0.09,0.11,0.12,82.28,35.46,97.07,8.85,-0.77
0.82,0.87,0.09,0.11,0.12,80.95,35.47,97.23,7.51,-1.22
0.82,0.87,0.09,0.11,0.13,81.28,35.48,97.4,7.17,-1.49
0.79,0.84,0.09,0.11,0.13,81.84,35.49,97.57,8.57,-1.07
0.78,0.83,0.08,0.11,0.13,81.77,35.5,97.73,9.35,-0.71
0.77,0.81,0.08,0.11,0.13,81.14,35.51,97.9,8.08,-0.28
0.77,0.81,0.08,0.12,0.13,80.86,35.52,98.07,7.31,0.41
0.76,0.8,0.08,0.13,0.13,80.73,35.52,98.23,7.67,-0.16
0.73,0.78,0.08,0.13,0.12,81.94,35.53,98.4,7.13,-0.55
0.71,0.75,0.08,0.13,0.12,82.58,35.54,98.57,6.72,-0.69
0.69,0.73,0.08,0.12,0.12,83.43,35.55,98.73,7.7,-1.17
0.68,0.72,0.08,0.12,0.12,82.69,35.56,98.9,8.27,-0.91
0.66,0.7,0.08,0.12,0.12,83.15,35.57,99.07,7.86,-0.74
0.64,0.68,0.08,0.12,0.12,84.29,35.57,99.23,9.13,-1.78
0.59,0.63,0.08,0.11,0.12,85.39,35.58,99.4,12.04,-1.76
0.58,0.61,0.08,0.11,0.12,86.38,35.59,99.57,13.38,0.09
0.59,0.63,0.09,0.13,0.12,85.89,35.59,99.73,12.4,-0.23
0.68,0.74,0.12,0.21,0.13,83.37,35.6,99.9,9.47,-2.11
0.94,1.05,0.22,0.46,0.13,80.54,35.61,100.07,6.08,-1.2
0.92,1.03,0.21,0.52,0.14,82.42,35.61,100.23,4.94,1.08
0.88,0.98,0.19,0.5,0.13,82.13,35.62,100.4,5.83,1.65
0.87,0.97,0.19,0.49,0.13,81.98,35.62,100.57,6.55,0.38
0.89,1,0.19,0.48,0.13,82.42,35.63,100.74,6.1,-0.73
0.96,1.08,0.2,0.5,0.13,82.29,35.64,100.9,5.35,-0.48
0.93,1.04,0.19,0.47,0.13,80.77,35.64,101.07,5.78,0.52
0.92,1.03,0.18,0.43,0.13,80.04,35.65,101.24,6.57,2.15
0.9,1.01,0.18,0.4,0.13,79.18,35.65,101.4,7.12,2.59
0.8,0.9,0.16,0.32,0.13,78.53,35.65,101.57,8.89,0.88
0.75,0.83,0.16,0.3,0.13,78.71,35.66,101.74,10.72,-1.53
2.57,3,1.58,1.66,0.14,76.1,35.66,101.91,8.74,-2.16
3.53,4.13,2.2,2.33,0.16,76.44,35.67,102.07,4.52,-0.97
2.68,3.13,1.49,1.69,0.15,76.04,35.67,102.24,4.26,-0.45
2.4,2.79,1.31,1.47,0.14,75.84,35.67,102.41,6.42,-0.51
9.22,13.39,5.57,5.69,0.29,70.51,35.68,102.57,7.78,-0.36
21.82,34.62,11.72,12.51,0.67,65.21,35.68,102.74,8.95,-1.82
46.88,73.28,20.99,25.73,1.45,54.67,35.68,102.91,6.65,-2.67
81.84,122.04,29.28,37.24,2.21,41.16,35.69,103.08,1.55,-1.24
69.9,104.12,21.15,33.13,2.05,50.67,35.69,103.24,-1.21,0.83
67.81,99.18,14.18,26.13,2.15,55.3,35.69,103.41,-1.02,1.56
74.45,105.75,12.06,22.66,2.26,57.53,35.69,103.58,-1.39,1.81
81.66,113.77,11.25,20.47,2.4,57.83,35.69,103.75,-2.45,1
87.8,120.54,10.96,18.71,2.55,56.46,35.7,103.91,-0.37,0.02
80.8,107.87,10.16,16.55,2.46,56.52,35.7,104.08,1.76,0.29
80.55,105.1,11.67,16.85,2.57,54.84,35.7,104.25,0.82,1.01
78.24,98.99,13.69,17.28,2.62,52.96,35.7,104.41,-0.72,0.49
71.91,89.31,13.37,16.82,2.48,52.47,35.7,104.58,-1.31,-0.52
55.6,68,10.47,14.1,2.06,54.38,35.7,104.75,-0.78,-0.6
45.48,54.54,8.82,12.11,1.77,55.83,35.7,104.92,-0.39,-0.79
40.06,46.35,7.58,9.92,1.56,55.92,35.7,105.08,-0.44,-0.26
36.57,41.11,6.86,8.66,1.42,56.66,35.7,105.25,-0.13,0.14
33.17,35.86,7.52,8.33,1.23,56.35,35.7,105.42,0.47,-0.1
34.47,36.66,9.77,9.23,1.27,55.77,35.7,105.59,0.83,-0.4
29.39,30.1,11.56,8.2,1.01,56.81,35.7,105.75,0.39,-0.1
15.48,17.84,9,7.42,0.87,57.47,35.7,105.92,-0.02,0.17
13.57,15.65,8.8,6.85,0.64,56.96,35.7,106.09,0.85,0.73
13.16,15.18,8.45,6.91,0.26,56.1,35.69,106.25,3,0.47
13.76,15.92,8.81,7.86,0.26,53.98,35.69,106.42,3.87,-1.85
15.27,17.85,10.15,9.85,0.27,50.96,35.69,106.59,2.73,-3.17
14.62,17.04,9,11.45,0.26,48.29,35.69,106.76,1.92,-2.3
15.35,17.82,8.05,10.93,0.27,47.98,35.69,106.92,1.71,-2.17
15.52,19.58,6.59,7.43,0.33,50.82,35.68,107.09,1.51,-2.1
15.99,20.77,6.16,6.49,0.35,51.88,35.68,107.26,0.86,-2.13
16.77,23.13,6.16,6.34,0.38,52.53,35.68,107.43,0.35,-2.35
18.57,25.98,7.49,7.54,0.44,51.85,35.67,107.59,0.78,-2.58
15.78,21.86,5.85,5.99,0.4,52.88,35.67,107.76,1.47,-2.59
14.19,19.34,5.15,5.32,0.37,53.7,35.67,107.93,1.47,-2.35
11.06,14.6,4.1,4.27,0.31,54.34,35.66,108.09,0.91,-1.66
9.07,11.75,3.71,3.77,0.27,55.27,35.66,108.26,0.62,-0.93
8.69,11.2,3.87,3.71,0.27,55.28,35.65,108.43,0.86,-0.13
7.9,10.15,4.23,3.62,0.25,55.46,35.65,108.6,1.59,-0.02
7.81,10.23,4.63,3.92,0.25,54.41,35.65,108.76,1.99,-0.69
7.98,10.74,5.48,4.49,0.26,53.15,35.64,108.93,1.32,-1.13
10.17,14.14,8.78,6.87,0.3,49.96,35.64,109.1,0.43,-0.93
11.24,15.55,9.97,7.17,0.32,48.32,35.63,109.26,0.06,-0.18
11.51,15.77,10.38,7.17,0.32,47.9,35.62,109.43,-0.76,-0.48
10.61,14.29,8.2,5.7,0.29,48.92,35.62,109.6,-2.37,-0.38
8.82,11.43,7.44,5.03,0.26,49.81,35.61,109.77,-2.61,-0.12
7.57,9.45,6.82,4.34,0.23,53.41,35.61,109.93,-1.03,-0.64
7.67,9.46,7.24,4.44,0.22,52.58,35.6,110.1,-0.37,-0.59
9.19,11.57,9.65,5.58,0.24,49.87,35.59,110.27,-0.73,0.11
12.87,16.78,15.61,9.03,0.29,46.6,35.59,110.43,-0.41,-0.02
30.54,42.23,47.34,24.31,0.52,34.88,35.58,110.6,-0.73,-0.6
32.89,43.34,37.04,18.26,0.52,38.86,35.57,110.77,-1.28,-0.68
32.9,41.61,35.27,16.72,0.49,39.12,35.57,110.93,-0.54,-0.82
36.59,45.08,38.65,17.32,0.51,37.64,35.56,111.1,0.23,-0.31
42.98,54.24,48.67,21.3,0.54,34.6,35.55,111.27,-0.37,1.52
51.01,61.27,56.01,22.93,0.57,33.83,35.54,111.43,-1.7,3.84
51.15,61.33,54.48,22.21,0.57,35.56,35.53,111.6,-1.98,4.44
40.81,72.11,40.8,17.26,1.04,39.67,35.52,111.77,-0.7,3.34
31.79,54.77,31.89,13.62,0.83,42.77,35.52,111.93,1.4,2.33
35.04,62.37,35.03,15.31,0.9,41.74,35.51,112.1,1.16,1.11
37.73,69.05,34.04,15.27,0.96,42.48,35.5,112.27,-0.92,1.18
41.97,79.79,36.28,16.69,1.08,41.72,35.49,112.43,-1.67,1.76
47.32,93.77,44.21,20.66,1.22,38.52,35.48,112.6,-1.84,1.79
56.06,120.54,57.78,24.58,1.41,35.75,35.47,112.77,-2.03,1.55
58.05,132.7,60.07,25.36,1.36,37.12,35.46,112.93,-2.53,1.13
51.13,117.41,47.91,21.52,1.13,41.59,35.45,113.1,-2.08,-0.17
42.61,100.21,40.61,20.35,1.04,44.03,35.44,113.27,-0.51,-1.4
49.35,131.91,41.35,24.68,1.56,41.28,35.43,113.43,0.08,-0.25
55.5,156.63,44.67,26.39,1.83,39.67,35.42,113.6,-0.36,0.66
59.09,172.12,52.57,31.9,2.09,35.3,35.41,113.76,-1.06,-0.91
64.12,188.49,59.51,35.37,2.47,29.96,35.39,113.93,-1.67,-2.07
67.96,194.93,59.88,35.48,2.69,29.27,35.38,114.1,-1.9,-2.94
75.75,215.35,62.59,36.35,3.04,27.49,35.37,114.26,-1.46,-3.23
80.37,224.8,61.19,35.52,3.13,26.9,35.36,114.43,-0.87,-3.06
85.35,236.16,57.88,34.67,3.17,26.16,35.35,114.6,-0.65,-2.73
88.21,241.09,54.7,34.3,3.08,25.26,35.33,114.76,-0.61,-2.29
90.07,246.03,53.64,35.09,3,23.67,35.32,114.93,-0.64,-1.79
92.84,251.83,55.65,36.79,3,21.24,35.31,115.09,-0.7,-1.38
95.97,258.24,56.66,38.15,3.03,19.35,35.3,115.26,-0.78,-1.11
87.76,234.66,56.32,39.51,2.78,18.02,35.28,115.42,-0.88,-0.99
78.24,201.76,53.23,41.21,2.42,17.21,35.27,115.59,-1.04,-0.9
70.49,178.07,52.06,42.86,2.22,17,35.26,115.76,-1.28,-0.71
71.45,173.53,51.48,44.22,2.13,17.01,35.24,115.92,-1.53,-0.41
71.03,171.74,52.28,45.31,2.05,17.13,35.23,116.09,-1.72,-0.1
72.99,174.72,59.26,47.4,2.03,16.5,35.21,116.25,-1.88,0.32
75.97,179.26,68.34,49.21,2.04,16.06,35.2,116.42,-2.21,0.9
80.8,188.79,86.86,51.48,2.15,15.05,35.18,116.58,-2.69,1.6
84.84,197.84,93.69,53.72,2.25,13.71,35.17,116.75,-2.97,2.14
86.88,200.71,93.08,54.75,2.27,13.31,35.15,116.91,-3.37,2.79
90.26,205.99,94.07,55.43,2.37,13.78,35.14,117.08,-3.98,2.99
87.18,193.73,76.53,53.66,2.16,16.49,35.12,117.24,-4.45,2.76
84.4,183.4,67.98,52.02,2.05,18.07,35.11,117.41,-4.54,2.54
82.52,174.47,63.73,50.95,1.94,19.08,35.09,117.57,-3.99,2.19
84.38,174.57,63.74,51.49,1.98,18.29,35.08,117.74,-3.26,1.44
86.34,175.33,63.74,52.3,1.98,17.78,35.06,117.9,-2.68,1.08
88.43,177.17,64.52,52.81,2.01,17.32,35.04,118.07,-2.5,1.43
96.01,190.03,86.89,55.62,2.21,14.11,35.03,118.23,-2.78,2.26
103.03,200.32,103.74,57.7,2.31,12.35,35.01,118.4,-3.1,2.85
104.09,197.37,93.46,57.64,2.24,13.63,34.99,118.56,-3.27,3.22
105.16,194.78,88.43,57.39,2.18,14.4,34.97,118.73,-3.04,3.27
105.65,192.5,86.13,57.19,2.13,14.81,34.96,118.89,-2.55,3.03
106.01,190.07,82.62,56.59,2.05,14.58,34.94,119.06,-2.47,3.26
1.74,1.85,0.26,1.27,0.11,82.34,33.22,79.13,1.62,1.84
1.61,1.72,0.24,1.1,0.11,83.82,33.25,79.29,5.46,3.41
1.5,1.6,0.22,0.95,0.11,84.08,33.28,79.44,8.42,3.78
